epoch,train_loss,train_region_loss,train_boundary_loss,train_distance_loss,train_dual_error_loss,train_iou,train_dice,val_loss,val_region_loss,val_boundary_loss,val_distance_loss,val_dual_error_loss,val_iou,val_dice,backbone_lr,module_lr
1,0.37210999336917844,0.17373826559138508,0.0,0.0,0.6958169884386316,0.8012626682762551,0.8752171887760669,0.4037354013858697,0.21440492226527288,0.0,0.0,0.6713041219955835,0.7721990744272867,0.8507795639527149,2e-05,0.0001
2,0.3591440138036171,0.18435442398211596,0.0,0.0,0.6326001122989485,0.7942921825214825,0.8688610533697415,0.39020705956679125,0.2200930641247676,0.0,0.0,0.6085516116557977,0.7661208378962981,0.8464369186988243,1.988303923565381e-05,9.939057285945933e-05
3,0.3214127596764438,0.16730359793368693,0.0,0.0,0.5668890887657098,0.8082989992293637,0.8801256434052391,0.3696560285030267,0.21733299661905336,0.0,0.0,0.5487645332629864,0.7695695968774648,0.8491814252657768,1.9535036904803962e-05,9.757729755661012e-05
4,0.30435350814224343,0.16694313300921854,0.0,0.0,0.5094405626301217,0.8083360295380111,0.880687620787494,0.3453999290099511,0.2070590364627349,0.0,0.0,0.5055121324001215,0.7787527903532371,0.8559360705889189,1.8964561979789496e-05,9.460482294732422e-05
5,0.2989102725961567,0.17470751155530456,0.0,0.0,0.4594549961322177,0.7999517951918914,0.8734126940237738,0.33445479166813386,0.21404825448989867,0.0,0.0,0.4358439314059722,0.7708272524369069,0.8487079149637466,1.8185661446562005e-05,9.054634122155992e-05
6,0.2771802130526146,0.16597975638851656,0.0,0.0,0.41512983061571035,0.8081657264084943,0.8813442872688834,0.33157933002863177,0.2179498975093548,0.0,0.0,0.41644307772318523,0.7680812530028515,0.8457217937860734,1.7217514421272206e-05,8.550178566873411e-05
7,0.2730404052850419,0.17020763839240624,0.0,0.0,0.3802236809139758,0.805231162404592,0.8783150167591804,0.3328764062661391,0.2277305754331442,0.0,0.0,0.37381690679452356,0.7601726110164936,0.8386682669321696,1.60839598967785e-05,7.959536998847744e-05
8,0.26146519210486285,0.16743372506008738,0.0,0.0,0.3484400895844519,0.8084843005754251,0.879700563913953,0.3192375137255742,0.22122661639482546,0.0,0.0,0.35121137148294695,0.7630293852243668,0.8423464897351387,1.4812909747525698e-05,7.297252973710758e-05
9,0.271806233488353,0.18144493124785677,0.0,0.0,0.33111942368271075,0.798711728205723,0.8714392216859665,0.3085404234054761,0.21687228221159716,0.0,0.0,0.32822965261263726,0.7667072577354236,0.8444717676211626,1.3435661446562005e-05,6.579634122155991e-05
10,0.248297014595133,0.1655823736064202,0.0,0.0,0.30530666342351287,0.812202141611977,0.8820631498784091,0.312929310859778,0.22318051977035328,0.0,0.0,0.3184552706204928,0.762972023548224,0.8416842466745621,1.1986127417882198e-05,5.824350601949144e-05
11,0.24040458318406502,0.16253028810024261,0.0,0.0,0.28624666080010674,0.8126051077800515,0.8828142079631839,0.3083683787248073,0.22431954374680152,0.0,0.0,0.2955363848270514,0.7613305275256818,0.8403838671170748,1.0500000000000003e-05,5.050000000000001e-05
12,0.2405485041373599,0.16508531445159322,0.0,0.0,0.27377486809165075,0.8099063682345162,0.8819140823541489,0.3078837689680931,0.2257083827104324,0.0,0.0,0.28706765939027834,0.7618823882861016,0.8404454952631242,9.013872582117811e-06,4.275649398050859e-05
13,0.23241409474769525,0.1602222432209327,0.0,0.0,0.26089255946927364,0.8138449429410749,0.8846290892204353,0.3025089694903447,0.2238371023764977,0.0,0.0,0.2770855906682137,0.7609521884184617,0.839437914505983,7.564338553438001e-06,3.520365877844011e-05
14,0.2320337897512765,0.1626385957398246,0.0,0.0,0.25391660999935284,0.8112697036920395,0.8825046040315544,0.3005473599984096,0.22384117383223315,0.0,0.0,0.27000695436428757,0.7613499610851973,0.8397754913721329,6.187090252474306e-06,2.8027470262892444e-05
15,0.2307625438655372,0.16273488054892657,0.0,0.0,0.24737479742121907,0.8095863677759086,0.8829738460810839,0.30404744484485724,0.22649179590054047,0.0,0.0,0.2677574588702275,0.760346646186633,0.8394210020701091,4.916040103221506e-06,2.1404630011522593e-05
16,0.21693818429402545,0.15132569337049417,0.0,0.0,0.239487486075511,0.8215543163561188,0.8916003424509437,0.2978254784376193,0.22222079848631834,0.0,0.0,0.2642809666120089,0.7653917288168882,0.8435150751700768,3.782485578727799e-06,1.5498214331265904e-05
17,0.2201982464938037,0.1544900918297008,0.0,0.0,0.23738016174957816,0.8181107867080554,0.8893559464311178,0.305116857168002,0.22755403854908088,0.0,0.0,0.2655053743949303,0.7594084152808556,0.8383439198518411,2.814338553438e-06,1.0453658778440109e-05
18,0.22130791737442523,0.15620071078296258,0.0,0.0,0.23500002920627594,0.8168327840028611,0.8870876062232836,0.30129249890645343,0.22530794204809726,0.0,0.0,0.26442987062992196,0.7609348883995644,0.8397668251624474,2.0354380202105058e-06,6.395177052675796e-06
19,0.22388048924967252,0.1582971641843298,0.0,0.0,0.23688822114362126,0.8175819542555682,0.8875553855853798,0.2971782317528358,0.2223833420337775,0.0,0.0,0.2599753514314309,0.7645763158798218,0.8426898192136716,1.4649630951960416e-06,3.422702443389901e-06
20,0.22508045068356844,0.1595878773492522,0.0,0.0,0.2360914796590805,0.8151462014797515,0.8849900623338413,0.30081133185288844,0.22620714811178355,0.0,0.0,0.259108182711479,0.7595148062094664,0.8380085810636863,1.1169607643461924e-06,1.6094271405406863e-06
