seed,subset,samples,model,iou,dice,iou_delta_vs_full,dice_delta_vs_full
7,full,195,U,0.7244497095944568,0.8071810023183975,0.0,0.0
7,full,195,UA,0.7369699711494063,0.8176640356424288,0.0,0.0
7,full,195,UB,0.7380062084572343,0.8218153666894884,0.0,0.0
7,full,195,UAB,0.744134157389674,0.8274665365519855,0.0,0.0
7,full,195,UABC,0.7449138793354088,0.8276329449855601,0.0,0.0
7,full,195,UABCD,0.7482712503982314,0.8305482073287014,0.0,0.0
7,clean_without_cross_split_near_duplicates,175,U,0.7163388903884129,0.8025001682919228,-0.00811081920604384,-0.004680834026474678
7,clean_without_cross_split_near_duplicates,175,UA,0.7301835125938178,0.8140817812762675,-0.00678645855558857,-0.0035822543661613304
7,clean_without_cross_split_near_duplicates,175,UB,0.7313111037467103,0.8186230161039852,-0.006695104710524036,-0.0031923505855031564
7,clean_without_cross_split_near_duplicates,175,UAB,0.7382537788683649,0.8247526648107217,-0.005880378521309182,-0.002713871741263807
7,clean_without_cross_split_near_duplicates,175,UABC,0.7380287606295781,0.823699676280048,-0.0068851187058306396,-0.0039332687055120275
7,clean_without_cross_split_near_duplicates,175,UABCD,0.7408371699475005,0.8259107398780582,-0.007434080450730907,-0.004637467450643196
7,near_duplicate_exposed,20,U,0.7954193776473403,0.84813830005005,0.07096966805288352,0.040957297731652464
7,near_duplicate_exposed,20,UA,0.7963514835108072,0.8490087613463402,0.05938151236140088,0.031344725703911336
7,near_duplicate_exposed,20,UB,0.7965883746743202,0.8497484343126416,0.058582166217085896,0.027933067623153174
7,near_duplicate_exposed,20,UAB,0.7955874694511295,0.851212914288044,0.051453312061455425,0.023746377736058477
7,near_duplicate_exposed,20,UABC,0.8051586680114269,0.8620490461587906,0.060244788676018124,0.03441610117323057
7,near_duplicate_exposed,20,UABCD,0.8133194543421268,0.8711260475218296,0.06504820394389543,0.04057784019312827
41,full,195,U,0.7244497095944568,0.8071810023183975,0.0,0.0
41,full,195,UA,0.7362157801618162,0.8181726499936502,0.0,0.0
41,full,195,UB,0.74192745866169,0.825366710557216,0.0,0.0
41,full,195,UAB,0.748473184395012,0.8294292796753765,0.0,0.0
41,full,195,UABC,0.7493209303968137,0.8302194133892946,0.0,0.0
41,full,195,UABCD,0.7511501227930785,0.8348036264208096,0.0,0.0
41,clean_without_cross_split_near_duplicates,175,U,0.7163388903884129,0.8025001682919228,-0.00811081920604384,-0.004680834026474678
41,clean_without_cross_split_near_duplicates,175,UA,0.7290508114464775,0.8141567036427751,-0.007164968715338671,-0.004015946350875099
41,clean_without_cross_split_near_duplicates,175,UB,0.735638030954355,0.8225502877161125,-0.0062894277073349825,-0.0028164228411035053
41,clean_without_cross_split_near_duplicates,175,UAB,0.7421256254844408,0.826504308130809,-0.006347558910571149,-0.0029249715445675006
41,clean_without_cross_split_near_duplicates,175,UABC,0.742365849445452,0.8260469028901952,-0.0069550809513616585,-0.004172510499099391
41,clean_without_cross_split_near_duplicates,175,UABCD,0.7446583729684592,0.8315690539798805,-0.006491749824619308,-0.003234572440929173
41,near_duplicate_exposed,20,U,0.7954193776473403,0.84813830005005,0.07096966805288352,0.040957297731652464
41,near_duplicate_exposed,20,UA,0.7989092564210296,0.8533121805638075,0.0626934762592134,0.035139530570157285
41,near_duplicate_exposed,20,UB,0.7969599511008709,0.8500104104168713,0.05503249243918096,0.02464369985965531
41,near_duplicate_exposed,20,UAB,0.80401432486251,0.8550227806903422,0.05554114046749803,0.025593501014965714
41,near_duplicate_exposed,20,UABC,0.8101778887212276,0.8667288802564144,0.06085695832441396,0.036509466867119755
41,near_duplicate_exposed,20,UABCD,0.8079529337584972,0.8631061352789402,0.056802810965418726,0.02830250885813057
73,full,195,U,0.7244497095944568,0.8071810023183975,0.0,0.0
73,full,195,UA,0.7418513431432331,0.8225642825283429,0.0,0.0
73,full,195,UB,0.7403456762333731,0.8235072675945304,0.0,0.0
73,full,195,UAB,0.7458954866055878,0.8278946195788491,0.0,0.0
73,full,195,UABC,0.7496603867043338,0.8308861894632812,0.0,0.0
73,full,195,UABCD,0.7544168951008371,0.8338214688403672,0.0,0.0
73,clean_without_cross_split_near_duplicates,175,U,0.7163388903884129,0.8025001682919228,-0.00811081920604384,-0.004680834026474678
73,clean_without_cross_split_near_duplicates,175,UA,0.7358459241426054,0.8197752910450536,-0.006005419000627676,-0.0027889914832892604
73,clean_without_cross_split_near_duplicates,175,UB,0.7340215114978829,0.8206077516127932,-0.006324164735490245,-0.0028995159817372107
73,clean_without_cross_split_near_duplicates,175,UAB,0.7399016794388809,0.8253270099883594,-0.005993807166706944,-0.002567609590489739
73,clean_without_cross_split_near_duplicates,175,UABC,0.7432727644010986,0.8278996476162365,-0.006387622303235196,-0.0029865418470447214
73,clean_without_cross_split_near_duplicates,175,UABCD,0.7484330382802437,0.8310864682408096,-0.005983856820593436,-0.0027350005995576687
73,near_duplicate_exposed,20,U,0.7954193776473403,0.84813830005005,0.07096966805288352,0.040957297731652464
73,near_duplicate_exposed,20,UA,0.794398759398726,0.8469679580071243,0.05254741625549286,0.024403675478781417
73,near_duplicate_exposed,20,UB,0.7956821176689118,0.8488780324347317,0.05533644143553873,0.025370764840201288
73,near_duplicate_exposed,20,UAB,0.7983412993142729,0.850361203495634,0.05244581270868509,0.02246658391678491
73,near_duplicate_exposed,20,UABC,0.8055520818576412,0.8570184306249218,0.055891695153307386,0.02613224116164059
73,near_duplicate_exposed,20,UABCD,0.8067756422810286,0.8577527240864962,0.05235874718019151,0.023931255246128935
